country_name,country_iso_code,continent_code
卢旺达,RW,AF
索马里,SO,AF
也门,YE,AS
伊拉克,IQ,AS
沙特阿拉伯,SA,AS
伊朗伊斯兰共和国,IR,AS
塞浦路斯,CY,EU
坦桑尼亚,TZ,AF
叙利亚,SY,AS
亚美尼亚,AM,AS
肯尼亚,KE,AF
扎伊尔,CD,AF
吉布提,DJ,AF
乌干达,UG,AF
中非共和国,CF,AF
塞舌尔群岛,SC,AF
约旦,JO,AS
黎巴嫩,LB,AS
科威特,KW,AS
阿曼,OM,AS
卡塔尔,QA,AS
巴林,BH,AS
阿拉伯联合酋长国,AE,AS
以色列,IL,AS
土耳其,TR,AS
埃塞俄比亚,ET,AF
厄立特里亚,ER,AF
埃及,EG,AF
苏丹,SD,AF
希腊,GR,EU
布隆迪,BI,AF
爱沙尼亚,EE,EU
拉脱维亚,LV,EU
阿塞拜疆,AZ,AS
立陶宛,LT,EU
斯瓦尔巴特和扬马延,SJ,EU
格鲁吉亚,GE,AS
摩尔多瓦共和国,MD,EU
白俄罗斯,BY,EU
芬兰,FI,EU
奥兰群岛,AX,EU
乌克兰,UA,EU
前南斯拉夫马其顿共和国,MK,EU
匈牙利,HU,EU
保加利亚,BG,EU
阿尔巴尼亚,AL,EU
波兰,PL,EU
罗马尼亚,RO,EU
科索沃,XK,EU
津巴布韦,ZW,AF
赞比亚,ZM,AF
科摩罗,KM,AF
马拉维,MW,AF
莱索托,LS,AF
博茨瓦纳,BW,AF
毛里求斯,MU,AF
斯威士兰,SZ,AF
留尼汪,RE,AF
南非,ZA,AF
马约特,YT,AF
莫桑比克,MZ,AF
马达加斯加,MG,AF
阿富汗,AF,AS
巴基斯坦,PK,AS
孟加拉,BD,AS
土库曼斯坦,TM,AS
塔吉克斯坦,TJ,AS
斯里兰卡,LK,AS
不丹,BT,AS
印度,IN,AS
马尔代夫,MV,AS
英属印度洋领地,IO,AS
尼泊尔,NP,AS
缅甸,MM,AS
乌兹别克斯坦,UZ,AS
哈萨克斯坦,KZ,AS
吉尔吉克斯坦,KG,AS
法属南部领土,TF,AN
赫德与麦克唐纳群岛,HM,AN
科科斯群岛,CC,AS
帕劳,PW,OC
越南,VN,AS
泰国,TH,AS
印度尼西亚,ID,AS
老挝人民民主共和国,LA,AS
台湾,TW,AS
菲律宾,PH,AS
马来西亚,MY,AS
中国,CN,AS
香港,HK,AS
文莱,BN,AS
澳门,MO,AS
柬埔寨,KH,AS
大韩民国,KR,AS
日本,JP,AS
朝鲜民主共和国,KP,AS
新加坡,SG,AS
库克群岛,CK,OC
东帝汶,TL,OC
俄罗斯,RU,EU
蒙古,MN,AS
澳大利亚,AU,OC
圣诞岛,CX,AS
马绍尔群岛,MH,OC
密克罗尼西亚,FM,OC
巴布亚新几内亚,PG,OC
所罗门群岛,SB,OC
图瓦卢,TV,OC
瑙鲁,NR,OC
瓦努阿图,VU,OC
新喀里多尼亚,NC,OC
诺福克岛,NF,OC
新西兰,NZ,OC
斐济,FJ,OC
阿拉伯利比亚民众国,LY,AF
喀麦隆,CM,AF
塞内加尔,SN,AF
刚果,CG,AF
葡萄牙,PT,EU
利比里亚,LR,AF
象牙海岸,CI,AF
加纳,GH,AF
赤道几内亚,GQ,AF
尼日利亚,NG,AF
布基纳法索,BF,AF
多哥,TG,AF
几内亚比绍,GW,AF
毛里塔尼亚,MR,AF
贝宁,BJ,AF
加蓬,GA,AF
塞拉利昂,SL,AF
圣多美和普林西比,ST,AF
直布罗陀,GI,EU
冈比亚,GM,AF
几内亚,GN,AF
乍得,TD,AF
尼日尔,NE,AF
马里,ML,AF
西撒哈拉,EH,AF
突尼斯,TN,AF
西班牙,ES,EU
摩洛哥,MA,AF
马耳他,MT,EU
阿尔及利亚,DZ,AF
法罗群岛,FO,EU
丹麦,DK,EU
冰岛,IS,EU
英国,GB,EU
瑞士,CH,EU
瑞典,SE,EU
荷兰,NL,EU
奥地利,AT,EU
比利时,BE,EU
德国,DE,EU
卢森堡,LU,EU
爱尔兰,IE,EU
摩纳哥,MC,EU
法国,FR,EU
安道尔,AD,EU
列支敦士登,LI,EU
泽西岛,JE,EU
曼岛,IM,EU
格恩西岛,GG,EU
斯洛伐克共和国,SK,EU
捷克共和国,CZ,EU
挪威,NO,EU
圣座（梵蒂冈）,VA,EU
圣马力诺,SM,EU
意大利,IT,EU
斯洛文尼亚,SI,EU
黑山共和国,ME,EU
克罗地亚,HR,EU
波斯尼亚和黑山共和国,BA,EU
安哥拉,AO,AF
纳米比亚,NA,AF
圣赫勒拿,SH,AF
布维特岛,BV,AN
巴巴多斯,BB,NA
佛得角,CV,AF
圭亚那,GY,SA
法属圭亚那,GF,SA
苏里南,SR,SA
圣皮埃尔和密克隆,PM,NA
格陵兰,GL,NA
巴拉圭,PY,SA
乌拉圭,UY,SA
巴西,BR,SA
福克兰群岛,FK,SA
南乔治亚岛和南桑威齐群岛,GS,AN
牙买加,JM,NA
多米尼加共和国,DO,NA
古巴,CU,NA
马提尼克群岛,MQ,NA
巴哈马,BS,NA
百慕大,BM,NA
安圭拉,AI,NA
特立尼达和多巴哥,TT,NA
圣基茨和尼维斯,KN,NA
多米尼加,DM,NA
安提瓜和巴布达,AG,NA
圣卢西亚,LC,NA
特克斯和凯科斯群岛,TC,NA
阿鲁巴,AW,NA
英属维京群岛,VG,NA
圣文森特和格林纳丁斯,VC,NA
蒙塞拉特群岛,MS,NA
圣马丁,MF,NA
圣巴泰勒米,BL,NA
瓜德罗普岛,GP,NA
格林纳达,GD,NA
